id,category,name,name2,difficulty,level,type,type2,image,description,,,,resource
14,Bikram Yoga,Half Moon Pose,(Ardha Chandrasana),intermediate,2,Balance,"Side-Bend, Inversion, Strength, Balance",half-moon.jpg,"The half moon yoga pose is a standing, balancing pose that's particularly challenging. It's an intermediate pose, so be sure you know your yoga fundamentals and are able to do Triangle Pose before you attempt Half Moon.",,,,
15,Bikram Yoga,Locust Pose ,(Salabhasana),beginner,1,Strength,"Back-Bend, Stretch, Strength",locust.jpg,This pose brings as much tightness to the back and buttocks and stimulates the parasympathetic nerves in the lower spinal region.,,,,
16,Jivamukti Yoga,Splits Pose ,(Hanumanasana),advanced,3,Balance,"Stretch, Strength, Balance",splits.jpg,"Challenging seated pose that requires the work of the hips and hamstrings, while balancing the upper body on the pelvis.",,,,https://www.doyou.com/jivamukti-yoga-poses/
17,Jivamukti Yoga,Hero Pose ,(Virasana),intermediate,2,Stretch,Stretch,hero.jpg,This asana is a seated posture and is considered good for meditation and pranayama. Virasana creates the deepest flexion of the knee joints and increases blood circulation through the legs.,,,,
18,Jivamukti Yoga,Bow Pose ,(Dhanurasana),intermediate,2,Stretch,"Back-Bend, Stretch",bow.jpg,The Bow pose brings all the stretch that is need to the entire back and works wonders on the abdominal muscles. It also helps boost energy in the body.,,,,
19,Power Yoga,Reclining Hero Pose,(Supta Virasana),intermediate,2,Stretch,Stretch,reclining-hero.jpg,"A variation of the base yoga pose Virasana (Hero Pose), where the torso is in a backbend while resting the head down on the floor. The practice of this pose requires strong and flexible lower back.",,,,https://www.yogajournal.com/practice/power-warm-ups
20,Power Yoga,Shoulderstand ,(Sarvangasana),intermediate,2,Balance,"Inversion, Stretch, Strength, Balance",shoulderstand.jpg,"Sarvangasana is called the ""Mother of all Yoga Poses"" because it benefits the entire body and also mind. To practice this asana, yoga practitioner should have some level of comfort with various yoga poses in the intermediate level.",,,,
21,Power Yoga,Camel Pose,(Ustrasana),advanced,3,Balance,"Back-Bend, Stretch, Balance",camel.jpg,"In this pose, stress is upon the thighs and the entire back that is leaning backwards and inwards. Ustrasana helps boost energy in the body.",,,,
22,Sivananda Yoga,Half Spinal Twist Pose,(Ardha Matsyendrasana),intermediate,2,Stretch,"Twist, Stretch",half-spinal-twist.jpg,In this yoga pose the spine gets its maximum twist at the upper back with the thighs placed over each other and with the support of the arms the torso gets its twist.,,,,https://www.yogajournal.com/practice/sivananda-yoga-and-classical-sequence#gid=ci025212a8500025c1&pid=27-mms_septoct_311_08104_bjk_resized
23,Sivananda Yoga,Low Lunge ,(Anjaneyasana),beginner,1,Strength,"Back-Bend, Stretch, Strength, Balance",low-lounge.jpg,"Anjaneyasana or Low Lunge Pose demands a strong sense of balance combined with a certain degree of openness in the legs, hips, and groin.",,,,
24,Sivananda Yoga,Cobra Pose ,(Bhujangasana),beginner,1,Stretch,Back-Bend,cobra.jpg,"Cobra Pose increases the mobility of the spine, strengthens spinal support muscles, and can help relieve back pain. It opens the chest and the front of the body.",,,,
25,Yin Yoga,Wide-Angle Seated Forward Bend ,(Upavistha Konasana),advanced,3,Stretch,"Forward-Bend, Stretch",wide-angle-bend.jpg,This yoga pose is for the intermediate level and is also considered a great hip opener. Upavistha Konasana works from the core to take the torso completely forward.,,,,https://www.with-yinyoga.com/dragonlfy-yin-yoga-pose
26,Yin Yoga,Butterfly Pose ,(Baddha Konasana ),beginner,1,Stretch,Stretch,butterfly.jpg,"Encompasses the entire hip area and opens inner thighs, back and hip flexors. You can use it to open up the muscles before exercise, to stretch them after exercise or as a stand-alone stretch to help with tight hips overall.",,,,
27,Yin Yoga,Cow Face Pose ,(Gomukhasana),beginner,1,Stretch,"Restorative, Twist, Stretch",cow-face.jpg,This pose is a seated pose that requires flexible thighs and shoulders. It helps boost energy in the body.,,,,
